Ticker,Short Name,GICS Sector,Ranking Model: Long Score,Alpha:M-6,P/E,Live PE Chg,P/B,Live P/BK Chg,P/FCF,Live P/CF Chg,Diluted EPS - 5 Year Average Growth:Y,BEst ROE BF12M,BEst ROA BF12M,Tot Buy,Tot Sell,"5 December, 2012",Closing PX ,WMAVG,,,SMAVG,,,
639     HK Equity,SHOUGANG FUSHAN,Materials,52.52,-0.01,7.19,1.37,0.83,-0.05,7.13,-0.03,N.A.,7.53,5.8,11,4,,2.91,2.882545455,2.880727273,2.883272727,2.896,2.9,2.904,
2777    HK Equity,GUANGZHOU R&F -H,Financials,52.49,0.05,7.87,-0.67,1.45,-0.17,48.2,-15.99,30.37,17.86,5.21,11,5,,12.78,12.26,12.05490909,11.87127273,11.864,11.652,11.43,
939     HK Equity,CHINA CONST BA-H,Financials,52.36,-0.08,6.48,-0.07,1.39,-0.09,N.A.,-91.69,27.62,19.69,1.34,31,0,,6.07,5.919454545,5.886,5.884909091,5.909,5.886,5.864,
ST      SP Equity,SINGAP TELECOMM,Telecommunication Services,52.2,0,13.17,1.25,2.31,-0.17,17.07,0.63,1.94,15.23,9.05,8,4,,3.3,3.267818182,3.252909091,3.233272727,3.234,3.218,3.202,
FNN     SP Equity,FRASER AND NEAVE,Industrials,52.1,0.26,16.02,1.44,1.77,-0.03,29.87,-3.5,23.87,10.77,6.17,3,1,,9.44,9.412181818,9.405818182,9.404545455,9.409,9.405,9.403,
CD      SP Equity,COMFORTDELGRO CO,Industrials,51.91,0.04,14.51,0.03,1.85,-0.07,22.71,0.09,-0.62,11.77,6.2,11,2,,1.725,1.690727273,1.681272727,1.676363636,1.681,1.673,1.663,
83      HK Equity,SINO LAND CO,Financials,51.75,0.05,8.16,4.94,0.91,-0.03,16.02,0.94,16.52,6.63,5.09,13,4,,13.92,13.75890909,13.712,13.72654545,13.722,13.662,13.64,
2899    HK Equity,ZIJIN MINING-H,Materials,51.31,-0.08,10.92,-0.81,2.12,-0.3,N.A.,-7.21,32.66,19.32,11.77,19,1,,3.04,3.085636364,3.098545455,3.108909091,3.1,3.111,3.117,
SMM     SP Equity,SEMBCORP MARINE,Industrials,51.09,-0.11,15.39,1.45,4.05,-0.35,N.A.,-56.77,30.6,24.42,11.1,15,2,,4.47,4.451818182,4.441454545,4.444,4.435,4.413,4.394,
STH     SP Equity,STARHUB LTD,Telecommunication Services,51.06,0.05,17.63,0.99,165.1,169.52,14.01,2.05,-0.03,1117.44,20.48,5,6,,3.72,3.686181818,3.673818182,3.663090909,3.665,3.652,3.641,
SGX     SP Equity,SINGAPORE EXCH,Financials,50.95,-0.01,26.53,-2.94,10.46,-1.83,24.82,3.14,-5.53,39,20.8,4,6,,6.94,6.831454545,6.794181818,6.767454545,6.776,6.735,6.703,
2333    HK Equity,GREAT WALL MOT-H,Consumer Discretionary,50.89,0.23,14.46,-2.62,3.22,-0.42,N.A.,-3.09,N.A.,24.5,12.66,18,5,,24.1,24.65181818,24.78727273,24.88545455,24.73,24.845,24.89,
754     HK Equity,HOPSON DEV,Financials,50.84,0.76,7.1,8.38,0.52,0.01,14.18,N.A.,29.03,3.3,1.37,3,1,,12.2,11.62145455,11.37163636,11.00709091,11.096,10.826,10.515,
27      HK Equity,GALAXY ENTERTAIN,Consumer Discretionary,50.57,0.21,19.13,-3.29,6.57,-1.05,N.A.,N.A.,N.A.,31.32,17.04,26,1,,27.6,28.74545455,28.99727273,29.25818182,28.935,28.985,28.985,
NOBL    SP Equity,NOBLE GROUP LTD,Industrials,50.23,-0.18,11.67,-0.35,1.13,0.01,6.75,2.84,36.1,11.65,3,12,3,,1.07,1.075090909,1.076363636,1.078454545,1.078,1.077,1.0765,
1193    HK Equity,CHINA RES GAS GR,Utilities,49.9,0.12,23.23,-1.36,3.86,-0.55,14.94,3.54,9.19,16.5,5.89,11,4,,16.96,16.70981818,16.67127273,16.724,16.748,16.748,16.93,
