Ticker,Short Name,GICS Sector,Ranking Model: Long Score,Alpha:M-6,P/E,Live PE Chg,P/B,Live P/BK Chg,P/FCF,Live P/CF Chg,Diluted EPS - 5 Year Average Growth:Y,BEst ROE BF12M,BEst ROA BF12M,Tot Buy,Tot Sell,"5 December, 2012",Closing PX ,WMAVG,,,SMAVG,,,
861     HK Equity,DIGITAL CHINA,Information Technology,42.33,0.01,10.65,0.17,1.99,-0.16,N.A.,N.A.,39.26,18.59,5.31,15,2,,13.3,12.99381818,12.93018182,12.91127273,12.982,12.95,13.016,
604     HK Equity,SHENZHEN INVEST,Financials,42.04,0.23,6.39,0.78,0.59,-0.05,N.A.,N.A.,16.05,9.05,3.5,3,0,,2.69,2.568181818,2.531636364,2.518545455,2.53,2.489,2.458,
1199    HK Equity,COSCO PAC LTD,Industrials,41.9,-0.04,11.61,-0.85,1.03,0,N.A.,N.A.,11.68,10.14,5.65,18,2,,11.14,10.96909091,10.92836364,10.94072727,10.964,10.916,10.888,
AREIT   SP Equity,ASCENDAS REAL ES,Financials,41.89,0.11,10.22,7.15,1.26,-0.01,N.A.,-1.59,54.77,7.5,5,7,5,,2.37,2.387818182,2.392727273,2.394,2.391,2.397,2.397,
3389    HK Equity,HENGDELI HOLDING,Consumer Discretionary,41.88,0.12,10.24,2.34,1.83,-0.08,N.A.,N.A.,68.27,14.86,6.92,10,4,,2.77,2.819272727,2.830727273,2.848909091,2.83,2.833,2.84,
1186    HK Equity,CHINA RAIL CN-H,Industrials,41.82,0.19,11.76,-0.59,1.33,-0.08,N.A.,N.A.,N.A.,11.74,2.06,18,1,,8.97,8.490545455,8.368363636,8.317090909,8.378,8.298,8.278,
GENS    SP Equity,GENTING SINGAPOR,Consumer Discretionary,41.81,-0.2,21.23,1.82,1.72,0.25,38.42,2.01,N.A.,9.9,6.94,5,9,,1.235,1.240818182,1.241,1.242090909,1.238,1.236,1.236,
1044    HK Equity,HENGAN INTL,Consumer Staples,41.8,-0.09,27.63,-2.83,6.59,-0.3,N.A.,N.A.,28.45,28.27,15.57,14,3,,70.1,70.02454545,70.00727273,70.27545455,70.12,70.005,70.075,
14      HK Equity,HYSAN DEVELOP CO,Financials,41.72,0.08,4.69,20.77,0.73,0.01,N.A.,-1.91,40.51,3.55,3.05,13,1,,37.1,37.12818182,37.10909091,37.10090909,37.09,36.995,36.855,
2009    HK Equity,BBMG CORP-H,Materials,41.59,-0.02,7.37,0.11,1.1,-0.07,N.A.,N.A.,23.66,14.15,3.8,12,1,,6.85,6.562,6.485272727,6.452,6.495,6.428,6.387,
489     HK Equity,DONGFENG MOTOR-H,Consumer Discretionary,41.57,-0.29,7.83,0.76,1.56,-0.07,N.A.,N.A.,43.04,16.96,7.98,21,5,,11.48,11.05163636,10.93454545,10.82509091,10.97,10.836,10.678,
392     HK Equity,BEIJING ENTERPRI,Industrials,41.5,0.11,19.64,-1.58,1.5,-0.06,N.A.,N.A.,50.26,9.31,4.89,16,1,,51,50.46727273,50.34363636,50.32181818,50.42,50.32,50.28,
384     HK Equity,CHINA GAS HOLDIN,Utilities,41.48,0.35,19.63,0.72,2.76,-0.23,N.A.,N.A.,106.56,13.46,5.15,7,2,,6.27,5.688,5.517818182,5.363454545,5.485,5.334,5.181,
1800    HK Equity,CHINA COM CONS-H,Industrials,41.47,-0.14,8.04,0.06,1.2,-0.06,N.A.,N.A.,23.13,15.01,3.27,16,0,,7.28,7.030545455,6.968909091,6.947090909,6.988,6.941,6.91,
390     HK Equity,CHINA RAIL GR-H,Industrials,41.38,0.24,11.93,-0.56,1.07,-0.06,N.A.,N.A.,N.A.,9.57,1.65,13,0,,4.55,4.414,4.377272727,4.352363636,4.376,4.348,4.323,
4       HK Equity,WHARF HLDG,Financials,41.32,0.17,4.59,13.08,0.82,-0.01,N.A.,N.A.,48.42,4.83,3.27,15,0,,60.95,59.02363636,58.43272727,58.21909091,58.35,57.7,57.275,
291     HK Equity,CHINA RES ENTERP,Consumer Staples,41.21,-0.01,19.09,14.94,1.7,0.09,99.5,2.08,18.71,6.78,2.42,17,1,,28.65,27.72545455,27.43727273,27.33545455,27.36,27.065,26.94,
2689    HK Equity,NINE DRAGONS PAP,Materials,41.18,-0.02,14.97,-2.14,0.99,-0.05,N.A.,-0.02,-6.9,8.81,3.04,8,3,,5.78,5.682363636,5.674545455,5.723090909,5.74,5.737,5.767,
1833    HK Equity,INTIME DEPARTMEN,Consumer Discretionary,41.14,-0.06,15.79,-0.33,2.02,-0.03,N.A.,N.A.,24.21,13.75,5.28,19,1,,8.91,8.896363636,8.904363636,8.965454545,8.965,8.954,8.966,
20      HK Equity,WHEELOCK & CO,Financials,41.13,0.25,3.02,6.16,0.58,0.01,N.A.,N.A.,45.3,5.09,2.68,5,1,,38.9,37.93909091,37.60818182,37.38181818,37.42,37.08,36.855,
3333    HK Equity,EVERGRANDE REAL,Financials,41.04,-0.22,4.23,1.44,1.39,-0.15,N.A.,N.A.,N.A.,22.53,5.25,16,3,,4.09,3.789818182,3.712545455,3.691272727,3.717,3.665,3.643,
388     HK Equity,HONG KONG EXCHNG,Financials,41.03,-0.01,28.47,3.71,14.53,-3.1,39.11,-2.13,25.49,40.33,7.53,5,11,,126.8,124.7690909,124.4872727,124.8545455,125.36,125.25,125.22,
998     HK Equity,CHINA CITIC BK-H,Financials,41.01,-0.14,4.38,0.13,0.81,-0.04,N.A.,N.A.,48.08,15.83,1.02,16,1,,4.07,3.989090909,3.970727273,3.966545455,3.983,3.969,3.957,
17      HK Equity,NEW WORLD DEV,Financials,40.91,0.15,6.41,4.62,0.61,-0.03,N.A.,N.A.,95.22,5.43,2.67,9,2,,12.34,12.23672727,12.22036364,12.23963636,12.258,12.25,12.246,
CT      SP Equity,CAPITAMALL TRUST,Financials,40.86,0.08,13.68,9.17,1.25,0.01,N.A.,-2.24,N.A.,6.01,3.93,13,3,,2.05,2.059454545,2.062909091,2.067272727,2.063,2.069,2.074,
992     HK Equity,LENOVO GROUP LTD,Information Technology,40.85,-0.01,18.34,-2.03,4.06,-0.5,N.A.,N.A.,N.A.,23.75,3.8,27,2,,7.24,7.204363636,7.184909091,7.160181818,7.17,7.133,7.114,
148     HK Equity,KINGBOARD CHEM,Information Technology,40.81,0.19,12,-2.27,0.71,-0.02,N.A.,N.A.,-7.37,7.96,3.76,6,1,,23.95,23.03818182,22.86090909,22.87818182,22.985,22.975,23.045,
200     HK Equity,MELCO INTL DEVEL,Consumer Discretionary,40.65,0.11,18.9,-5.7,1.28,0.11,N.A.,N.A.,N.A.,10.03,7.64,3,1,,8.05,8.148909091,8.164909091,8.195636364,8.145,8.138,8.119,
KPLD    SP Equity,KEPPEL LAND LTD,Financials,40.44,0.06,3.62,9.81,1,-0.04,N.A.,N.A.,94.8,6.63,3.92,10,2,,3.66,3.561818182,3.529454545,3.504545455,3.518,3.482,3.453,
CCT     SP Equity,CAPITACOMMERCIAL,Financials,40.41,0.18,11.96,10.12,1.01,-0.01,N.A.,-4.51,N.A.,4.71,3.38,11,5,,1.61,1.603363636,1.601181818,1.601727273,1.5995,1.598,1.598,
1929    HK Equity,CHOW TAI FOOK JE,Consumer Discretionary,40.35,0.04,16.35,2.19,3.86,-0.66,N.A.,N.A.,N.A.,19.92,13.69,9,8,,11.24,10.96472727,10.86290909,10.75927273,10.798,10.68,10.57,
1099    HK Equity,SINOPHARM-H,Health Care,40.31,0.17,28.05,-2.74,3,-0.75,N.A.,N.A.,82.32,13.19,5.16,14,2,,25.05,24.47090909,24.37090909,24.41909091,24.56,24.5,24.515,
19      HK Equity,SWIRE PACIFIC-A,Financials,40.18,0.02,8.68,6.92,0.72,-0.04,N.A.,-10.48,54.88,4.36,3.07,2,5,,96.75,95.45727273,95.13636364,95.07,95.295,94.985,94.735,
902     HK Equity,HUANENG POWER-H,Utilities,40.04,0.28,36.83,-23.6,1.52,-0.11,N.A.,N.A.,N.A.,13.02,3.39,18,4,,7.07,6.653636364,6.546909091,6.466181818,6.543,6.483,6.436,
603     HK Equity,CHINA OIL AND GA,Utilities,39.91,0.35,23.03,-1.21,2.05,-0.12,N.A.,N.A.,15.17,11.86,4.93,2,0,,1.2,1.159818182,1.145454545,1.129090909,1.138,1.121,1.1,
2319    HK Equity,CHINA MENGNIU DA,Consumer Staples,39.88,-0.03,20.3,-0.95,2.47,-0.17,N.A.,N.A.,N.A.,14.27,8.68,19,5,,20.4,21.37818182,21.60818182,21.72909091,21.555,21.665,21.665,
2388    HK Equity,BOC HONG KONG HO,Financials,39.83,0,12.84,-0.29,1.8,0.01,N.A.,N.A.,58.2,14.65,1.17,18,2,,24.1,23.91454545,23.87727273,23.89,23.94,23.895,23.87,
CIT     SP Equity,CITY DEVELOPS,Financials,39.8,0.02,18.47,-0.34,1.51,-0.06,N.A.,-34.1,24.84,8.63,4.6,4,13,,11.87,11.65636364,11.58509091,11.542,11.557,11.478,11.423,
272     HK Equity,SHUI ON LAND LTD,Financials,39.65,0.09,4.76,7.01,0.61,-0.02,N.A.,N.A.,14.73,6.18,2.73,6,0,,3.99,3.823454545,3.767090909,3.728363636,3.746,3.68,3.627,
3339    HK Equity,LONKING HOLDINGS,Industrials,39.48,-0.18,7.87,3.55,1.03,-0.05,N.A.,-14.31,28.9,10.78,4.67,6,9,,1.94,1.823090909,1.794909091,1.780727273,1.806,1.785,1.772,
1224    HK Equity,C C LAND HOLDING,Financials,39.33,0.22,21.58,-9.35,0.51,-0.02,N.A.,N.A.,N.A.,4.86,1.73,5,0,,2.57,2.465636364,2.414181818,2.350363636,2.355,2.287,2.219,
GLP     SP Equity,GLOBAL LOGISTIC,Financials,39.12,0.19,17.8,9.2,1.28,0.02,N.A.,-2.19,N.A.,5.15,2.82,8,3,,2.78,2.726,2.702,2.679636364,2.673,2.648,2.627,
38      HK Equity,FIRST TRACTOR-H,Industrials,39.11,-0.03,11.43,1.24,1.35,-0.06,N.A.,N.A.,N.A.,12.09,5.29,6,1,,7.17,7.184363636,7.17,7.191090909,7.143,7.091,7.056,
914     HK Equity,ANHUI CONCH-H,Materials,39.09,-0.04,13.39,4.87,2.53,-0.17,N.A.,N.A.,44.74,15.31,8.53,15,7,,27.3,25.86636364,25.53272727,25.41545455,25.66,25.465,25.355,
DBS     SP Equity,DBS GROUP HLDGS,Financials,39.03,-0.01,10.45,-0.08,1.16,-0.02,N.A.,N.A.,6.47,10.95,0.92,16,2,,14.57,14.34181818,14.26309091,14.19272727,14.223,14.137,14.073,
1066    HK Equity,SHANDONG WEIG-H,Health Care,39.02,0,7.74,17.94,3.29,-0.08,N.A.,N.A.,99.4,14.09,12.58,4,5,,7.86,7.933454545,7.969818182,8.047636364,8.039,8.06,8.098,
CAPL    SP Equity,CAPITALAND LTD,Financials,38.76,0.15,13.31,11.92,1.01,-0.02,N.A.,N.A.,16.72,5.17,2.39,19,1,,3.59,3.512363636,3.488181818,3.471272727,3.481,3.457,3.437,
3618    HK Equity,CHONGQING RURA-H,Financials,38.73,-0.11,5.44,-0.09,0.89,-0.05,N.A.,N.A.,N.A.,15.49,1.19,16,4,,3.57,3.511272727,3.495636364,3.493272727,3.501,3.484,3.467,
12      HK Equity,HENDERSON LAND D,Financials,38.61,0.11,8.03,9.21,0.68,0.01,N.A.,N.A.,26.87,3.98,2.85,14,3,,55.2,54.80636364,54.68727273,54.76181818,54.775,54.545,54.41,
YZJ     SP Equity,YANGZIJIANG SHIP,Industrials,38.58,-0.21,4.56,0.53,1.3,-0.14,N.A.,N.A.,43.28,17.73,7.88,5,8,,0.92,0.915636364,0.913181818,0.912727273,0.9115,0.9065,0.9025,
8       HK Equity,PCCW LTD,Telecommunication Services,38.36,0.04,13.86,-0.98,2.77,1.4,N.A.,N.A.,5.43,26.31,3.78,8,1,,3.24,3.218909091,3.212545455,3.214181818,3.21,3.205,3.199,
220     HK Equity,UNI-PRESIDENT,Consumer Staples,38.03,0.27,42.62,-12.18,3.74,-0.15,N.A.,0.99,N.A.,12.93,5.82,8,7,,9.44,9.881454545,9.982545455,10.04145455,9.943,9.996,10.014,
506     HK Equity,CHINA FOODS LTD,Consumer Staples,37.96,0.05,26.81,-4.34,3.08,-0.18,N.A.,N.A.,-3.76,14.35,5.89,11,2,,7.59,7.755272727,7.815636364,7.883636364,7.868,7.922,7.964,
3377    HK Equity,SINO OCEAN LAND,Financials,37.93,0.36,9.83,2.27,0.74,0,N.A.,N.A.,N.A.,7.32,2.36,10,8,,5.87,5.678,5.609454545,5.549272727,5.561,5.493,5.429,
606     HK Equity,CHINA AGRI-INDUS,Consumer Staples,37.82,-0.24,13.83,-2.94,0.79,-0.01,N.A.,N.A.,26.16,8,2.31,13,1,,4.12,4.1844,4.198,4.2088,4.193,4.1948,4.1994,
WIL     SP Equity,WILMAR INTERNATI,Consumer Staples,37.5,-0.19,13.08,2.04,1.21,-0.04,N.A.,-4.14,27.1,9.02,3.75,9,9,,3.16,3.168,3.168,3.167454545,3.163,3.16,3.157,
101     HK Equity,HANG LUNG PROPER,Financials,37.48,-0.02,21.41,4.93,1.14,0.02,N.A.,N.A.,90.9,5.21,4.08,14,2,,29.2,28.28727273,28.02727273,27.87909091,28.03,27.77,27.585,
1313    HK Equity,CHINA RES CEMENT,Materials,37.3,-0.23,11.53,4.11,1.64,-0.09,N.A.,4.37,N.A.,11.54,4.55,14,9,,4.94,4.796545455,4.758181818,4.742727273,4.755,4.729,4.715,
1299    HK Equity,AIA GROUP LTD,Financials,37.2,0.02,26.92,-8.98,2.03,-0.03,N.A.,N.A.,N.A.,11.21,2.1,20,4,,30.2,30.08363636,30.07909091,30.18636364,30.17,30.175,30.19,
CMA     SP Equity,CAPITAMALLS ASIA,Financials,37.13,0.17,13.32,23.51,1.18,-0.02,N.A.,18.53,-19.85,4.18,2.96,15,2,,1.94,1.925272727,1.917363636,1.902454545,1.9115,1.8965,1.878,
OCBC    SP Equity,OCBC BANK,Financials,36.94,0.02,8.5,2.17,1.3,0.08,N.A.,N.A.,1.36,10.98,0.98,11,4,,9.49,9.378363636,9.339090909,9.295090909,9.314,9.274,9.228,
2318    HK Equity,PING AN INSURA-H,Financials,36.89,-0.1,18.55,-1.56,2.61,-0.16,N.A.,N.A.,N.A.,16.37,1.02,19,2,,60.5,58.54454545,58.14818182,58.27181818,58.55,58.32,58.33,
2338    HK Equity,WEICHAI POWER-H,Industrials,36.86,-0.11,12.25,1.28,1.99,-0.43,N.A.,N.A.,44.41,14.03,7.38,5,8,,31,29.2,28.8,28.61818182,28.995,28.8,28.7,
144     HK Equity,CHINA MERCHANT,Industrials,36.56,-0.13,17.2,-1.77,1.35,-0.04,N.A.,N.A.,19.9,9.22,4.91,8,4,,23.8,23.57636364,23.51272727,23.50454545,23.55,23.45,23.405,
UOB     SP Equity,UNITED OVERSEAS,Financials,36.43,-0.02,11.79,-0.16,1.37,-0.02,N.A.,N.A.,-0.88,11.34,1.05,13,5,,19.27,18.74418182,18.58418182,18.47072727,18.542,18.39,18.286,
23      HK Equity,BANK EAST ASIA,Financials,36.37,-0.03,13.72,-0.35,1.27,-0.04,N.A.,N.A.,1526.88,8.63,0.7,3,9,,30.35,29.77272727,29.62363636,29.57727273,29.66,29.53,29.445,
3328    HK Equity,BANK OF COMMUN-H,Financials,35.58,-0.09,5.13,0.57,0.95,-0.04,N.A.,N.A.,N.A.,14.39,1,9,7,,5.75,5.605818182,5.573636364,5.572727273,5.594,5.573,5.555,
267     HK Equity,CITIC PACIFIC,Industrials,35.38,-0.21,4.13,2.41,0.46,-0.02,N.A.,N.A.,N.A.,6.33,2.81,1,3,,9.97,9.841636364,9.807636364,9.791090909,9.825,9.783,9.749,
2357    HK Equity,AVICHINA INDUS-H,Industrials,35.24,0.01,30.41,-5.24,1.68,-0.12,N.A.,N.A.,N.A.,8.08,2.83,6,0,,3.29,3.316,3.327272727,3.347090909,3.342,3.352,3.369,
330     HK Equity,ESPRIT HLDGS,Consumer Discretionary,34.84,0.02,19.08,16.67,1.07,0.02,N.A.,-3.64,184.55,5.11,3.75,3,12,,11.92,11.99890909,12.03781818,12.16218182,12.112,12.134,12.204,
3       HK Equity,HONG KG CHINA GS,Utilities,34.48,0.12,26.22,0.15,4.36,-0.24,N.A.,N.A.,9.06,15.39,8.07,3,7,,21.45,21.11272727,21.01363636,20.97272727,21.02,20.905,20.825,
10      HK Equity,HANG LUNG GROUP,Financials,34.31,-0.11,15.85,7.63,0.96,0.02,N.A.,N.A.,76.42,5.92,2,0,0,,44.2,43.40545455,43.24545455,43.19363636,43.37,43.32,43.315,
HKL     SP Equity,HONGKONG LAND,Financials,34.12,0.03,7.06,14.54,0.6,0.01,N.A.,N.A.,N.A.,3.21,2.59,6,4,,6.43,6.492909091,6.510545455,6.532909091,6.52,6.527,6.543,
322     HK Equity,TINGYI HLDG CO,Consumer Staples,34.02,0.09,32.47,2.49,6.41,0.12,N.A.,N.A.,24.74,21.13,8.22,13,6,,22.65,22.46727273,22.40272727,22.38818182,22.35,22.295,22.27,
762     HK Equity,CHINA UNICOM HON,Telecommunication Services,33.97,-0.05,43.88,-10.57,1.11,-0.01,N.A.,N.A.,29.41,5.13,2.36,22,5,,12.24,12.03236364,11.99636364,12.03054545,12.082,12.042,12.028,
2038    HK Equity,FOXCONN INTL HLD,Information Technology,33.96,0.16,N.A.,N.A.,1.03,0,13.35,16.31,N.A.,0.06,-1.12,4,2,,3.78,3.856,3.881818182,3.918363636,3.901,3.922,3.951,
494     HK Equity,LI & FUNG LTD,Consumer Discretionary,33.24,-0.24,17.6,2.35,3.08,-0.28,N.A.,N.A.,16.47,16.67,6.56,7,8,,12.68,12.53127273,12.48290909,12.456,12.474,12.414,12.392,
6808    HK Equity,SUN ART RETAIL,Consumer Staples,33.24,0.12,42.24,-3.98,5.81,-1.16,N.A.,N.A.,N.A.,15.57,5.75,8,3,,11.98,11.76909091,11.69345455,11.63272727,11.636,11.564,11.506,
2628    HK Equity,CHINA LIFE INS-H,Financials,33.09,0.04,35.08,-3.93,2.46,0.03,N.A.,N.A.,26.53,11.52,1.38,11,3,,23.45,22.77090909,22.61909091,22.63181818,22.725,22.615,22.57,
69      HK Equity,SHANGRI-LA ASIA,Consumer Discretionary,31.97,0,17.61,13.32,1.06,0,N.A.,N.A.,10.87,3.2,2.81,3,3,,15,14.97381818,14.97454545,15.01818182,14.994,15.004,15.04,
293     HK Equity,CATHAY PAC AIR,Industrials,29.03,-0.03,30.09,40.66,0.99,-0.05,N.A.,1.85,N.A.,5.18,2.02,9,7,,13.5,13.59272727,13.63454545,13.72763636,13.694,13.73,13.772,
COS     SP Equity,COSCO CORP SINGA,Industrials,28.06,-0.25,16.17,1.94,1.55,-0.11,N.A.,N.A.,14.07,7.21,1.59,0,19,,0.875,0.888,0.891727273,0.898272727,0.8945,0.8955,0.896,
1101    HK Equity,CHINA RONGSHENG,Industrials,24.39,-0.46,9.93,9.92,0.47,-0.01,N.A.,N.A.,N.A.,1.78,-0.27,0,10,,1.27,1.323454545,1.346545455,1.381454545,1.373,1.397,1.422,
LIGO    SP Equity,LIONGOLD CORP LT,Materials,21.4,0.03,N.A.,N.A.,5.07,2.03,141.31,N.A.,N.A.,7.63,4.36,1,0,,1.065,1.067272727,1.067818182,1.067090909,1.068,1.068,1.066,
1068    HK Equity,CHINA YURUN FOOD,Consumer Staples,21.11,-0.43,30.75,33.32,0.56,0.01,N.A.,N.A.,31.23,5.42,2.48,5,9,,5.12,4.930727273,4.887454545,4.870727273,4.904,4.882,4.868,
1211    HK Equity,BYD CO LTD-H,Consumer Discretionary,20.73,0.02,33.69,64.56,1.79,-0.07,N.A.,N.A.,N.A.,3.63,1.49,0,11,,20.2,19.53672727,19.39709091,19.37381818,19.484,19.432,19.392,
NOL     SP Equity,NEPTUNE ORIENT,Industrials,20.35,-0.12,N.A.,N.A.,1.01,0,N.A.,N.A.,N.A.,4.55,2.11,11,10,,1.115,1.105909091,1.103818182,1.104818182,1.109,1.1035,1.1005,
CHEN    SP Equity,YHM GROUP LTD,Utilities,19.33,4.09,N.A.,N.A.,0.03,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,0.033,0.029890909,0.029672727,0.029854545,0.0314,0.0318,0.032,
2866    HK Equity,CHINA SHIPPING-H,Industrials,18.61,-0.19,N.A.,N.A.,1.06,-0.27,N.A.,N.A.,N.A.,2.14,1.16,8,13,,2.15,2.076545455,2.062727273,2.066909091,2.08,2.074,2.073,
SKYO    SP Equity,SKY ONE HOLDINGS,Industrials,18.08,0.04,14.54,N.A.,2.62,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,0.305,0.302909091,0.302636364,0.303363636,0.3035,0.3035,0.304,
2600    HK Equity,ALUMINUM CORP-H,Materials,15.75,-0.16,N.A.,N.A.,0.77,0.01,N.A.,N.A.,N.A.,-4.37,-0.5,1,20,,3.37,3.293818182,3.278909091,3.277454545,3.295,3.288,3.282,
1919    HK Equity,CHINA COSCO HO-H,Industrials,15.43,-0.21,N.A.,N.A.,0.99,0.09,N.A.,N.A.,N.A.,-4.02,-0.65,3,13,,3.6,3.582,3.583454545,3.601272727,3.603,3.608,3.608,
3800    HK Equity,GCL-POLY ENERGY,Information Technology,15.34,-0.36,52.16,N.A.,1.07,-0.05,N.A.,N.A.,N.A.,1.96,0.27,3,11,,1.34,1.295454545,1.286727273,1.290909091,1.297,1.292,1.293,
ACAP    SP Equity,ASIASONS CAPITAL,Financials,14.28,0.51,67.86,N.A.,4.83,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,0.765,0.762,0.759272727,0.755727273,0.755,0.75,0.7455,
1314    HK Equity,TSUI WAH HOLDING,Consumer Discretionary,10.33,4.36,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,2.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,
RHT     SP Equity,RELIGARE HEALTH,Financials,10.31,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,5.61,4.56,5,0,,0.85,0.832909091,0.826818182,0.817818182,0.8215,0.8165,0.8105,
INDIA   SP Equity,ISHARES MSCI IND,N.A.,5.14,0.15,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,6.35,6.185818182,6.133454545,6.080545455,6.109,6.062,6.019,
2800    HK Equity,TRACKER FUND HK,N.A.,3.83,-0.01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,22.5,22.13636364,22.05,22.04454545,22.1,22.025,21.97,
2828    HK Equity,HS H-SHARE ETF,N.A.,3.38,-0.06,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,109.8,107.2381818,106.6672727,106.6090909,107.08,106.66,106.38,
2823    HK Equity,ISHARES FTSE A50,N.A.,2.33,-0.18,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,9.99,9.62,9.543818182,9.542181818,9.609,9.571,9.561,
2822    HK Equity,CSOP FTSE CH-HKD,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,9.5,9.074,8.986,8.986909091,9.061,9.016,9.005,
82822   HK Equity,CSOP FTSE CH-CNY,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,7.61,7.282363636,7.215090909,7.215636364,7.274,7.24,7.233,
83188   HK Equity,CHINAAMC 300,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,22.75,21.88363636,21.71181818,21.72272727,21.87,21.805,21.81,
